Trace metal concentrations in filtered water (0.45 um) analyzed at Trent WQC,,,,,,,,,,,,,,,,,,,,,,,
York Sample ID #,Province,Lake,Station,,Sampling Date,Sampling depth (m or range if integrated),,Fe ppb,Fe RSD,Co ppb,Co RSD,Ni ppb,Ni RSD,Cu ppb,Cu RSD,Zn ppb,Zn RSD,Mo ppb,Mo RSD,Mn ppb,Mn RSD,V ppb,V RSD
TMF-163,Man,Lake Winnipeg,W11,17 053 040,2017-10-03,1,,28.06,3.23,0.07,2.42,0.78,2.65,1.59,1.93,470,2.78,0.23,3.5,0.85,1.14,1.11,2.73
TMF-164,Man,Lake Winnipeg,7,17 053 043,2017-10-03,1,,37.2,3.28,0.08,0.21,0.71,4.28,1.17,3.34,420.74,1.08,0.34,3.38,0.89,3.17,0.83,5.64
TMF-181,Man,Lake Winnipeg,7,17 053 044,2017-10-03,4.0,1 m above bottom,38,3.1,0.07,3.91,0.67,4.25,1.1,2.49,334.89,2.93,0.18,2.11,1,2.45,0.69,4.22
TMF-180,Man,Lake Winnipeg,W11,17 053 041,2017-10-03,6.8,1 m above bottom,34.45,4.17,0.12,5.31,0.78,2,1.64,2.52,469.04,1.01,1.13,2.17,1.14,1.7,1.04,2.13
TMF-216,NB,Baker,,,2017-09-27,1,,5.14,0.93,0.06,4.19,0.18,15.5,0.6,3.18,155.94,1.76,0.11,5.35,0.56,3.1,0.18,11.74
TMF-215,NB,Baker,,,2017-09-27,23,,7.23,2.17,0.07,5.34,0.23,13.66,0.96,4.98,255.45,2.17,0.11,2.4,1.92,3.49,0.18,7.39
TMF-213,NB,Chamcook,,,2017-09-26,1,,4.35,0.49,0.05,1.64,< D.L.,< D.L.,0.57,3.42,5.18,2.28,0.31,6.47,0.43,3.99,0.1,22.62
TMF-214,NB,Chamcook,,,2017-09-26,20,,6.32,2.42,0.04,2.78,< D.L.,< D.L.,0.48,3.91,22.81,3.79,0.16,6.71,2.02,2.87,0.08,14.49
TMF-204,NB,Davidson,,,2017-09-12,1,,49.66,15.35,0.07,1.45,0.7,1.5,0.79,0.56,1001.01,2.32,0.57,3.82,1.96,2.75,1.3,2.86
TMF-205,NB,George,,,2017-09-13,0.5,,20.01,1.02,0.06,2.93,0.76,6.2,0.86,4.59,4059.71,1.01,0.07,2.51,1.48,4.14,0.62,2.55
TMF-203,NB,Harvey,,,2017-09-12,1,,9.49,3.3,0.05,5.48,0.32,4.14,0.63,2.78,718.59,2.51,0.18,1.31,1.22,1.49,0.38,5.95
TMF-206,NB,Magaguadavic,,,2017-09-13,0.5,,28.12,2.43,0.05,3.14,0.26,7.84,0.89,3.45,386.26,1.75,0.23,3.93,1.61,2.33,1.31,0.3
TMF-219,NB,Oromocto,,,2017-10-13,1,,5.53,0.62,0.04,5.4,< D.L.,< D.L.,0.51,1.96,5.38,1.29,0.03,21.58,0.6,1.33,0.07,5.6
TMF-218,NB,Sinclair,,,2017-10-05,1,,57.35,2.64,0.05,2.65,< D.L.,< D.L.,0.33,4.96,91.59,1.95,0.11,2.09,1.31,0.91,0.21,7.41
TMF-217,NB,Unique,,,2017-09-27,1,,95.62,3.26,0.1,0.56,0.13,18.41,0.6,3.59,15.94,3.22,0.08,3.02,20.91,2.17,0.2,11.59
TMF-211,NB,Utopia,,,2017-09-26,1,,60.23,1.28,0.03,4.27,< D.L.,< D.L.,0.53,0.85,32.59,0.95,0.16,3.36,9.44,1.7,0.11,0.75
TMF-212,NB,Utopia,,,2017-09-26,22,,20.92,1.01,0.08,3.75,0.06,51.25,0.8,8.59,10.05,1.47,1.14,9.97,1.1,8.01,0.14,10.55
TMF-209,NB,Walton,,,2017-09-25,1,,15.51,2.37,0.04,2.06,< D.L.,< D.L.,1.63,0.91,13.45,2.92,0.03,8.22,2.7,3.92,0.13,11.65
TMF-210,NB,Walton,,,2017-09-25,13,,7.33,1.84,0.05,2.88,0,1366.72,0.31,0.14,99.08,2,0.02,3.55,20.87,3.24,0.06,11.6
TMF-208,NB,Yoho,,,2017-09-18,1,,6.56,0.49,0.04,1,0.41,3.5,2.03,2.16,1172.37,1.07,0.02,14.06,1.31,2.08,0.3,10.64
TMF-207,NB,Yoho,,,2017-09-18,12,,43.69,0.28,0.12,3.72,0.01,106.97,0.51,2.9,4.95,3.7,0.04,5.58,96.26,1.43,0.11,17.91
TMF-259,Ont,221,,,2017-09-13,1,,126.357,1.396,0.043,13.078,1.2,11.825,0.492,3.586,44.953,0.62,0.052,23.849,8.15,2.307,0.09,22.832
TMF-260,Ont,221,,,2017-09-13,5,,3082.42,0.292,0.607,4.247,1.078,9.295,0.305,7.299,6.062,2.835,0.039,13.68,176.706,0.619,0.527,6.518
TMF-261,Ont,222,,,2017-09-13,1,,398.248,1.828,0.022,13.037,1.13,11.188,0.364,2.915,25.791,2.56,0.132,5.631,8.08,2.269,0.151,10.181
TMF-262,Ont,222,,,2017-09-13,4,,921.835,3.758,0.082,2.927,1.114,15.464,0.366,4.88,92.373,3.019,0.128,3.109,245.778,3.188,0.259,8.739
TMF-263,Ont,222,,,2017-09-13,5,,971.218,4.094,0.248,4.442,1.022,3.39,0.493,6.599,83.908,3.768,0.108,14.667,536.195,3.851,0.264,4.265
TMF-264,Ont,224,,,2017-09-13,1,,1.736,3.74,0.002,130.613,1.034,10.417,0.238,4.743,1.75,3.543,0.018,26.856,0.553,0.781,0.018,31.592
TMF-265,Ont,224,,,2017-09-13,25,,1560.952,8.827,0.239,3.411,0.959,13.481,0.155,5.264,45.077,9.389,0.008,16.732,240.722,2.497,0.044,19.977
TMF-348,Ont,227,,,2017-05-23,epi,,119.856,3.249,0.074,7.936,1.366,4.687,1.01,5.139,822.54,4.525,0.16,13.601,1.282,5.74,2.236,4.299
TMF-349,Ont,227,,,2017-05-23,meta,,288.422,1.625,0.062,3.932,1.295,8.12,0.729,6.21,143.706,2.762,0.097,4.776,4.785,4.89,1.023,1.887
TMF-350,Ont,227,,,2017-06-05,0,,66.388,2.513,0.041,13.248,0.98,6.987,0.933,3.663,11.635,2.258,0.093,18.691,1.155,6.045,0.102,2.276
TMF-351,Ont,227,,,2017-06-05,1,,73.494,5.536,0.045,6.806,0.987,10.347,0.412,2.86,56.556,4.931,0.08,10.521,2.808,5.775,0.096,11.079
TMF-352,Ont,227,,,2017-06-05,3,,289.076,1.409,0.11,2.335,1.137,7.652,0.888,4.538,181.152,2.279,1.334,8.445,1.236,4.399,2.058,6.114
TMF-353,Ont,227,,,2017-06-05,4,,302.65,3.16,0.056,2.271,1.047,7.291,0.779,5.49,39.228,4.187,0.449,9.75,2.663,5.438,0.072,7.627
TMF-354,Ont,227,,,2017-06-05,6,,299.547,0.996,0.569,4.404,1.078,7.036,1.012,4.358,50.703,1.738,0.238,4.252,112.247,3.235,0.08,7.305
