Trace metal concentrations in filtered water (0.45 um) analyzed at Trent WQC,,,,,,,,,,,,,,,,,,,,,,,
York Sample ID #,Province,Lake,Station,,Sampling Date,Sampling depth (m or range if integrated),,Fe ppb,Fe RSD,Co ppb,Co RSD,Ni ppb,Ni RSD,Cu ppb,Cu RSD,Zn ppb,Zn RSD,Mo ppb,Mo RSD,Mn ppb,Mn RSD,V ppb,V RSD
TMF-273,Ont,304,,,2017-09-12,6,,9623.795,3.474,0.647,3.987,1.075,12.425,0.239,3.643,17.037,2.287,0.013,21.989,486.623,5.31,0.575,6.253
TMF-274,Ont,373,,,2017-09-12,1,,1.976,4.708,0.006,43.572,0.99,12.963,0.264,6.816,2.651,8.774,0.172,9.22,0.723,4.605,0.041,13.369
TMF-275,Ont,373,,,2017-09-12,20,,5615.712,2.675,0.57,6.712,1.059,4.403,0.208,6.965,56.753,1.631,0.633,8.141,2466.671,4.884,0.244,8.738
TMF-357,Ont,442,,,2017-05-29,0,,28.648,6.19,0.113,2.788,3.672,3.641,0.711,2.067,85.112,6.308,0.302,4.008,15.591,5.388,0.721,7.327
TMF-358,Ont,442,,,2017-05-29,5,,39.689,7.446,0.052,5.702,3.167,9.918,1.214,9.928,1214.541,6.333,0.125,9.44,13.938,9.805,2.172,6.025
TMF-359,Ont,442,,,2017-05-29,9,,44.148,2.78,0.053,2.669,2.988,6.056,0.929,3.218,1277.734,2.008,0.11,6.674,23.49,4.611,2.386,3.329
TMF-360,Ont,442,,,2017-05-29,13,,62.124,1.495,0.036,12.911,1.202,4.834,0.623,1.431,123.266,2.752,0.077,2.077,27.703,5.927,0.735,3.84
TMF-361,Ont,442,,,2017-05-29,15,,91.874,2.602,0.141,5.968,1.52,2.308,0.672,5.998,887.148,2.707,0.08,10.637,314.852,6.765,2.254,1.811
TMF-362,Ont,442,,,2017-05-29,17,,20598.325,0.25,2.281,5.082,1.391,2.457,0.673,6.366,1634.451,1.399,0.385,3.705,4176.215,4.026,3.186,1.762
TMF-363,Ont,442,,,2017-06-12,epi,,42.815,9.743,0.037,20.5,0.785,2.279,0.768,1.722,4.957,5.304,0.069,11.309,14.779,20.515,0.062,21.219
TMF-365,Ont,442,,,2017-06-12,hypo,,52.407,1.881,0.046,8.328,1.976,6.569,0.825,4.839,20.011,3.224,0.042,16.891,33.802,5.732,0.099,7.712
TMF-364,Ont,442,,,2017-06-12,meta,,16.716,6.099,0.034,6.1,0.748,5.236,0.616,8.494,9.152,7.208,0.04,7.051,0.868,1.861,0.059,10.86
TMF-3,Ont,442,central stn,,2017-06-26,0,,11.374,1.561,0.02,2.828,0.701,1.968,0.497,1.992,5.4,1.233,0.441,3.002,0.964,1.775,0.062,3.831
TMF-4,Ont,442,central stn,,2017-06-26,5,,15.971,2.164,0.023,5.42,0.767,5.281,0.579,3.878,7.0,2.046,0.328,0.735,0.398,5.425,0.049,8.911
TMF-5,Ont,442,central stn,,2017-06-26,9,,25.718,0.546,0.032,5.793,0.835,5.665,0.621,3.986,88.1,1.269,0.225,4.464,2.561,5.31,0.474,1.841
TMF-6,Ont,442,central stn,,2017-06-26,13,,46.589,2.028,0.036,4.526,0.801,1.202,0.513,2.844,24.7,1.74,0.175,1.511,83.338,3.524,0.058,12.612
TMF-7,Ont,442,central stn,,2017-06-26,15,,79.929,0.103,0.262,1.104,1.005,1.564,0.616,1.289,310.9,2.551,0.154,6.848,539.878,0.745,0.075,2.773
TMF-8,Ont,442,central stn,,2017-06-26,17,,2081.023,1.453,0.879,4.339,1.074,4.335,0.415,2.924,1131.7,1.378,0.169,5.816,1325.269,2.889,0.368,4.696
TMF-9,Ont,442,central stn,,2017-07-11,1,,8.265,1.447,0.016,3.3,0.63,2.473,0.644,0.281,5.6,0.702,0.09,3.345,0.472,1.428,0.087,7.09
TMF-10,Ont,442,central stn,,2017-07-11,5,,11.546,3.469,0.018,7.946,0.631,3.164,0.477,3.458,6.0,1.945,0.068,10.867,0.263,3.161,0.091,10.16
TMF-11,Ont,442,central stn,,2017-07-11,9,,17.803,1.541,0.022,3.073,0.777,0.295,0.589,0.265,11.6,1.616,0.058,12.777,0.871,1.65,0.085,4.463
TMF-12,Ont,442,central stn,,2017-07-11,13,,42.069,0.884,0.08,1.581,1.045,2.34,1.119,1.334,18.8,1.159,0.066,23.972,218.777,2.785,0.059,4.344
TMF-13,Ont,442,central stn,,2017-07-11,15,,69.586,0.639,0.28,1.476,0.942,1.376,0.543,1.46,30.2,0.864,0.062,4.41,534.301,1.259,0.094,4.119
TMF-14,Ont,442,central stn,,2017-07-11,17,,4705.343,3.155,0.888,1.448,1.053,0.784,0.434,2.355,181.6,2.328,0.136,3.886,1326.663,2.152,0.304,0.269
TMF-276,Ont,442,,,2017-07-31,0,,13.947,2.011,0.012,25.562,1.52,5.868,0.599,2.845,3.364,2.735,0.037,10.252,0.643,5.257,0.072,26.816
TMF-277,Ont,442,,,2017-07-31,5,,9.65,1.782,0.062,4.718,1.937,2.911,5.616,4.423,1769.91,1.832,1.372,11.947,0.539,3.442,1.592,1.752
TMF-278,Ont,442,,,2017-07-31,9,,16.893,8.086,0.048,16.844,2.18,8.472,1.648,7.23,4798.265,8.258,0.435,12.603,8.707,7.923,2.551,8.984
TMF-279,Ont,442,,,2017-07-31,13,,27.42,4.626,0.138,4.715,2.13,0.283,1.259,2.259,2258.241,3.643,0.218,16.226,333.571,3.813,2.698,1.872
TMF-280,Ont,442,,,2017-07-31,15,,1105.423,1.923,0.591,5.972,2.39,1.702,1.05,3.202,3416.217,1.617,0.131,23.986,820.062,4.255,2.549,3.493
TMF-281,Ont,442,,,2017-07-31,17,,12100.47,3.947,1.178,2.387,2.562,1.539,3.147,4.634,4026.143,3.066,0.195,6.397,1761.981,3.428,4.454,4.697
TMF-282,Ont,442,,,2017-08-14,epi,,21.999,25.217,0.017,23.597,1.549,5.123,0.715,2.248,53.641,28.284,0.08,1.934,0.542,2.961,0.991,26.152
TMF-284,Ont,442,,,2017-08-14,hypo,,54.481,2.532,0.255,5.286,1.747,5.095,0.473,4.857,6.031,3.701,0.058,11.462,406.693,4.742,0.063,11.202
TMF-283,Ont,442,,,2017-08-14,meta,,7.928,5.124,0.016,3.68,1.675,4.431,0.535,7.68,29.373,4.209,0.059,31.971,0.439,6.56,0.59,7.765
TMF-285,Ont,442,,,2017-08-28,0,,7.251,1.879,0.011,31.568,1.597,2.917,0.953,2.308,5.266,3.187,0.058,22.563,0.255,0.357,0.048,11.024
TMF-286,Ont,442,,,2017-08-28,5,,10.903,5.049,0.014,22.483,1.562,6.763,0.514,2.631,128.805,5.774,0.044,11.956,0.488,5.655,0.435,7.296
TMF-287,Ont,442,,,2017-08-28,9,Typed label had 9 m,12.927,4.547,0.018,7.946,1.583,5.623,0.447,4.671,451.35,4.834,0.019,26.753,4.222,4.323,0.564,2.658
TMF-288,Ont,442,,,2017-08-28,13,Hand written label had 19 m but may be 13 m (total was sampled at 13 m),149.314,4.675,0.368,2.682,1.629,2.571,1.079,3.922,94.666,3.791,0.033,28.998,509.606,5.401,0.408,1.097
TMF-289,Ont,442,,,2017-08-28,15,,4277.249,3.701,0.809,2.801,1.801,3.859,0.305,1.818,50.765,4.071,0.075,11.556,1023.575,3.96,0.456,6.24
TMF-290,Ont,442,,,2017-08-28,17,,10757.934,1.954,1.19,2.483,1.843,6.853,0.445,1.174,871.897,1.209,0.105,2.112,1666.666,1.572,1.746,8.605
TMF-123,Ont,Big Rideau,,,2017-08-14,,,9.51,3.47,0.12,5.66,3.18,3.76,2.05,0.83,252.62,2.81,16.24,2.66,1.24,2.98,0.68,3.28
TMF-376,Ont,Blue Chalk,,,2017-07-14,epi,0-6,12.237,6.577,0.017,28.923,0.106,8.945,0.527,4.499,2.707,9.242,7.683,16.659,2.66,17.153,0.033,19.002
TMF-377,Ont,Blue Chalk,,,2017-07-14,hypo,10-20,36.09,1.953,0.598,15.241,0.541,14.52,0.691,3.173,2.617,1.626,9.66,15.419,30.15,8.024,0.163,11.898
TMF-378,Ont,Blue Chalk,,,2017-08-09,epi,0-6,3.993,0.597,0.036,14.802,0.239,0.855,0.452,8.72,6.14,2.92,7.53,18.184,0.621,5.814,0.074,3.394
TMF-379,Ont,Blue Chalk,,,2017-08-09,hypo,10-22,42.227,0.66,0.057,10.882,0.158,8.215,0.418,6.763,9.381,1.851,5.307,18.952,45.253,7.298,0.035,9.291
TMF-380,Ont,Blue Chalk,,,2017-09-22,epi,0-8,3.702,1.936,0.031,5.657,0.159,4.024,0.598,8.292,14.006,2.658,6.913,22.751,0.734,3.49,0.057,5.635
TMF-381,Ont,Blue Chalk,,,2017-09-22,hypo,12-22,194.385,1.478,0.12,11.609,0.462,14.607,1.071,13.728,102.828,0.841,7.227,24.626,145.513,16.071,0.089,6.538
TMF-79,Ont,Conestogo,Center,,2017-06-21,2,,17.768,2.327,0.25,0.552,3.927,1.157,1.79,0.494,13.0,0.929,0.319,0.139,3.314,0.776,0.786,1.839
TMF-80,Ont,Conestogo,Center,,2017-06-21,7,,15.464,0.767,0.244,3.075,3.508,4.436,1.699,3.77,14.3,0.309,0.338,3.241,3.302,5.456,0.745,3.122
TMF-81,Ont,Conestogo,Center,,2017-06-21,17,,10.838,2.43,0.229,6.04,2.688,2.734,1.667,2.8,53.2,1.063,1.756,8.633,2.939,2.202,1.079,0.216
TMF-82,Ont,Conestogo,East,,2017-07-05,2,,20.313,2.384,0.228,1.088,3.172,2.684,2.388,1.621,12.2,0.859,0.772,1.416,1.384,1.868,1.179,0.538
TMF-84,Ont,Conestogo,Center,,2017-07-05,2,,25.623,0.214,0.203,0.864,2.983,3.585,2.025,1.489,34.7,0.697,0.482,2.753,1.395,1.383,1.07,1.859
TMF-85,Ont,Conestogo,Center,,2017-07-05,7,,27.929,8.889,0.197,1.227,2.981,1.679,2.438,2.218,72.5,0.884,0.436,0.915,1.11,1.74,1.074,2.4
TMF-83,Ont,Conestogo,East,,2017-07-05,8,,32.882,2.333,0.35,4.633,4.767,4.893,1.782,3.425,52.3,1.5,0.647,2.095,23.801,4.169,1.46,1.397
TMF-86,Ont,Conestogo,Center,,2017-07-05,17,,29.359,1.107,0.299,2.084,3.307,2.072,1.799,2.144,124.7,1.631,0.477,3.349,158.885,3.009,1.731,1.578
TMF-87,Ont,Conestogo,East,,2017-07-11,2,,18.344,5.516,0.181,29.53,2.025,31.398,1.595,29.754,12.8,4.829,0.334,35.789,2.265,30.73,1.405,3.485
TMF-89,Ont,Conestogo,West ,,2017-07-11,2,,15.258,0.743,0.226,2.435,2.879,1.999,2.167,0.33,8.6,0.697,0.401,3.175,1.105,0.756,1.161,0.193
TMF-90,Ont,Conestogo,West,,2017-07-11,7,,24.818,3.384,0.2,6.107,3.239,6.387,2.446,2.87,40.4,1.589,0.387,2.359,0.926,3.974,1.136,2.719
TMF-88,Ont,Conestogo,East,,2017-07-11,8,,28.654,4.088,0.255,1.484,3.252,2.054,2.056,2.021,67.8,4.399,0.423,2.076,37.593,5.029,1.392,1.255
TMF-91,Ont,Conestogo,West,,2017-07-11,10,,30.037,1.96,0.196,5.464,2.681,5.604,2.37,3.031,78.9,1.947,0.387,5.867,6.341,3.941,1.237,1.604
TMF-92,Ont,Conestogo,Center,,2017-07-14,2,,22.912,27.722,0.248,4.302,4.201,2.326,2.032,0.81,16.2,25.03,0.389,0.875,1.275,2.226,0.943,26.496
TMF-93,Ont,Conestogo,Center,,2017-07-14,7,,22.592,4.244,0.221,4.081,3.521,4.461,2.115,3.866,20.0,0.382,0.374,6.052,1.101,3.621,1.069,1.285
TMF-94,Ont,Conestogo,Center,,2017-07-14,16,,25.724,2.912,0.2,0.684,2.695,0.964,2.578,2.16,1123.5,2.521,0.38,1.773,21.977,1.137,2.574,2.258
TMF-95,Ont,Conestogo,Center,,2017-07-18,2,,25.957,1.467,0.226,6.145,2.995,6.041,1.996,4.156,107.7,0.895,0.433,6.384,29.356,5.778,1.395,1.654
TMF-96,Ont,Conestogo,Center,,2017-07-18,7,,20.953,3.469,0.212,3.754,3.061,1.772,1.923,1.794,54.3,2.731,0.363,3.135,1.044,3.038,1.193,0.968
TMF-97,Ont,Conestogo,Center,,2017-07-18,16,,11.158,0.434,0.234,11.168,2.825,12.232,2.398,8.962,186.5,0.792,0.419,12.139,2.193,9.469,2.153,2.683
TMF-98,Ont,Conestogo,East,,2017-07-19,2,,15.878,0.674,0.224,1.569,3.245,4.176,1.969,1.675,6.4,1.067,0.368,1.152,3.465,2.22,1.186,3.133
TMF-100,Ont,Conestogo,West ,,2017-07-19,2,,15.614,2.373,0.206,4.239,2.93,2.227,1.764,3.07,7.9,1.309,0.34,4.708,1.191,1.997,1.112,1.381
TMF-101,Ont,Conestogo,West,,2017-07-19,7,,22.857,0.26,0.213,1.993,2.883,5.124,1.656,4.333,49.6,2.789,1.435,4.074,1.046,3.77,1.231,0.467
TMF-99,Ont,Conestogo,East,,2017-07-19,8,,26.384,2.106,0.318,4.043,3.852,3.501,1.68,3.51,78.7,1.761,0.429,2.21,112.653,4.144,1.467,2.849
TMF-102,Ont,Conestogo,West,,2017-07-19,10,,21.884,4.41,0.182,4.024,2.541,3.953,1.667,4.064,121.1,0.464,0.745,5.168,8.045,3.829,1.289,1.945
TMF-103,Ont,Conestogo,East,,2017-07-25,2,,15.109,1.87,0.22,1.565,2.371,1.943,1.739,0.527,14.2,0.468,0.577,4.004,1.511,2.106,1.425,1.261
TMF-105,Ont,Conestogo,Center,,2017-07-25,2,,18.076,2.504,0.183,26.294,2.649,29.183,1.487,25.516,4.8,2.413,0.377,32.434,0.788,26.112,1.315,2.69
TMF-108,Ont,Conestogo,West ,,2017-07-25,2,,17.054,0.685,0.221,3.519,3.292,3.366,2.067,0.544,11.5,0.64,0.806,2.264,1.062,1.724,1.199,1.614
TMF-106,Ont,Conestogo,Center,,2017-07-25,7,,14.7,1.975,0.227,1.849,3.415,3.21,2.263,2.084,8.8,0.499,0.413,1.877,0.957,2.533,1.196,0.325
TMF-109,Ont,Conestogo,West,,2017-07-25,7,,14.729,4.262,0.195,4.164,2.716,3.866,1.536,2.302,10.3,0.257,0.339,4.368,0.866,2.984,1.178,2.512
TMF-104,Ont,Conestogo,East,,2017-07-25,8,,48.339,0.469,0.278,4.424,3.742,5.366,2.068,3.373,42.1,1.155,0.624,5.237,23.4,2.301,1.373,0.617
TMF-110,Ont,Conestogo,West,,2017-07-25,10,,28.431,4.093,0.229,1.772,3.622,2.353,1.675,1.166,128.6,1.871,0.392,2.259,24.077,2.21,1.32,2.758
TMF-107,Ont,Conestogo,Center,,2017-07-25,16,,28.725,0.473,0.25,2.462,4.305,1.928,2.098,0.305,167.4,0.794,0.432,2.692,42.495,0.371,1.274,1.693
TMF-116,Ont,Conestogo,Center,,2017-08-01,2,,10.702,4.929,0.234,2.788,3.151,1.904,2.023,1.678,10.3,2.382,0.384,1.365,0.785,1.565,1.219,3.315
TMF-117,Ont,Conestogo,Center,,2017-08-01,7,,17.13,7.25,0.212,5.18,2.75,2.736,2.08,3.495,65.8,1.364,0.378,2.698,0.706,3.188,1.493,2.165
TMF-118,Ont,Conestogo,Center,,2017-08-01,16,,20.343,3.029,0.26,6.469,3.465,4.903,1.866,3.949,2646.8,1.069,0.414,3.2,25.644,7.105,3.435,2.392
TMF-227,Ont,Conestogo,East,,2017-08-10,2,,9.518,4.323,0.247,4.513,6.67,2.133,1.953,2.975,23.313,5.082,1.482,5.807,1.329,3.244,1.098,6.982
TMF-229,Ont,Conestogo,Center,,2017-08-10,2,,5.007,2.844,0.18,9.795,2.116,1.81,1.62,3.683,3.982,6.385,0.612,4.933,1.016,4.534,1.383,5.656
TMF-232,Ont,Conestogo,West,,2017-08-10,2,Vial leaked: 2.3 mL DI added to 2.3 mL sample. These results were multiplied by 2.,9.294,5.204,0.32,4.572,4.094,7.966,3.078,9.424,21.06,6.108,0.858,16.774,1.134,12.164,2.376,6.07
TMF-228,Ont,Conestogo,East,,2017-08-10,6.5,,16.059,4.497,0.236,6.219,4.917,0.312,1.743,2.867,83.471,2.844,0.768,9.281,12.648,3.24,1.381,5.433
TMF-230,Ont,Conestogo,Center,,2017-08-10,7,,7.624,0.85,0.199,6.543,3.308,2.78,2.356,1.489,44.998,1.483,0.598,5.069,0.819,1.809,1.211,2.629
TMF-233,Ont,Conestogo,West,,2017-08-10,7,,1433.122,2.127,1.912,1.644,40.631,1.776,28.53,2.196,350.956,2.446,12.086,1.906,80.731,2.843,2.563,4.839
TMF-234,Ont,Conestogo,West,,2017-08-10,9,,9.33,4.766,0.166,5.465,1.963,2.345,1.397,1.087,86.87,4.522,0.448,7.854,7.481,3.79,1.214,4.043
TMF-231,Ont,Conestogo,Center,,2017-08-10,15,,6.96,4.989,0.182,2.989,1.935,2.185,1.059,3.162,108.343,4.654,0.387,6.708,118.83,5.824,0.997,3.926
TMF-235,Ont,Conestogo,East,,2017-08-17,2,,5.831,9.481,0.17,1.655,1.806,5.146,1.553,3.763,5.958,3.101,0.393,6.431,1.029,5.067,1.39,3.604
TMF-237,Ont,Conestogo,Center,,2017-08-17,2,,5.881,3.096,0.159,1.837,2.005,1.729,2.09,5.123,35.023,4.829,0.37,8.149,0.781,2.52,1.191,2.891
TMF-240,Ont,Conestogo,West,,2017-08-17,2,,5.287,4.9,0.177,48.262,2.233,29.277,1.847,38.548,8.512,4.198,0.404,45.295,0.689,41.965,1.659,4.081
TMF-236,Ont,Conestogo,East,,2017-08-17,6.5,,10.919,4.455,0.192,3.917,2.099,2.314,1.302,3.042,113.626,4.93,0.393,3.353,39.677,4.008,1.061,1.607
TMF-238,Ont,Conestogo,Center,,2017-08-17,7,,6.398,22.28,0.171,5.513,1.988,1.358,1.832,5.881,60.073,19.559,0.372,1.763,0.658,5.772,1.032,16.114
TMF-241,Ont,Conestogo,West,,2017-08-17,7,,4.117,4.77,0.155,7.645,1.903,1.321,1.585,4.194,7.586,6.917,0.326,6.691,0.725,5.74,1.194,5.454
TMF-242,Ont,Conestogo,West,,2017-08-17,8.5,,9.832,7.383,0.165,6.866,1.961,2.855,1.418,2.189,57.993,7.42,0.336,10.715,6.602,4.755,1.202,1.086
TMF-239,Ont,Conestogo,Center,,2017-08-17,14.6,,5.247,4.001,0.172,5.321,1.865,3.418,1.143,2.695,100.282,3.326,0.339,4.443,69.533,2.257,0.847,5.174
TMF-121,Ont,Constance,,,2017-05-25,,,45.51,2.34,0.11,1.69,1.88,9.05,1.32,4.64,1233.67,2.98,116.29,1.27,5.12,2.75,1.79,2.45
TMF-58,Ont,Hamilton Harbour,1001,,2017-05-23,0-20,,10.103,5.606,0.188,35.36,3.634,36.383,2.625,35.359,685.3,2.675,5.426,35.845,3.161,34.28,1.571,1.085
TMF-60,Ont,Hamilton Harbour,1001,,2017-05-31,19,,6.169,2.967,0.206,1.282,4.649,2.745,3.617,1.53,1257.0,0.993,6.407,1.879,10.701,2.09,3.245,1.867
TMF-59,Ont,Hamilton Harbour,1001,,2017-05-31,0-20,,10.29,4.486,0.237,12.009,4.309,9.917,3.539,7.25,104.1,2.159,7.381,9.348,4.138,8.409,0.829,3.559
TMF-61,Ont,Hamilton Harbour,1001,,2017-06-08,0-20,,7.114,1.762,0.242,4.532,3.993,5.018,3.202,1.347,180.2,2.301,8.11,0.787,2.579,2.577,1.049,1.685
TMF-63,Ont,Hamilton Harbour,1001,,2017-06-14,19,,3.729,1.821,0.181,5.429,3.372,4.377,2.684,5.692,459.5,1.412,5.598,4.693,34.47,4.464,1.392,1.609
TMF-62,Ont,Hamilton Harbour,1001,,2017-06-14,0-20,,8.67,1.558,0.225,2.625,4.172,2.384,3.18,0.909,1642.0,1.597,7.359,1.034,0.823,0.387,1.931,1.733
TMF-64,Ont,Hamilton Harbour,1001,,2017-06-21,0-20,,5.632,1.078,0.186,1.392,3.373,2.641,2.932,1.113,30.0,1.273,6.381,1.984,1.607,0.924,0.827,2.028
TMF-66,Ont,Hamilton Harbour,1001,,2017-06-28,19,,4.684,0.499,0.146,1.999,2.756,2.952,2.29,1.395,166.0,3.211,4.393,3.096,11.536,1.064,0.699,2.576
TMF-65,Ont,Hamilton Harbour,1001,,2017-06-28,0-20,,8.991,3.174,0.208,1.795,3.405,2.164,3.597,1.29,229.5,0.107,6.227,1.996,3.511,2.531,0.9,2.044
TMF-68,Ont,Hamilton Harbour,1001,,2017-07-05,19,,8.829,2.66,0.182,6.468,2.867,2.902,2.368,6.245,648.8,1.44,3.971,4.195,37.871,5.441,0.884,3.388
TMF-67,Ont,Hamilton Harbour,1001,,2017-07-05,0-8,,9.212,1.848,0.191,1.766,3.44,1.298,3.359,2.614,70.8,2.543,6.095,2.085,2.878,3.652,0.925,2.05
TMF-70,Ont,Hamilton Harbour,1001,,2017-07-11,19,,4.912,2.274,0.12,29.484,2.451,28.341,1.585,26.412,24.4,2.656,3.315,28.507,25.58,28.735,0.578,3.383
TMF-69,Ont,Hamilton Harbour,1001,,2017-07-11,0-4,,10.298,1.258,0.192,6.498,3.451,2.669,3.023,3.862,43.6,2.253,6.018,3.915,1.851,6.246,0.852,4.483
TMF-72,Ont,Hamilton Harbour,1001,,2017-07-19,19,,8.8,3.96,0.13,2.691,2.765,6.549,1.826,0.25,31.4,0.468,3.501,0.701,97.818,1.699,0.558,3.206
TMF-71,Ont,Hamilton Harbour,1001,,2017-07-19,0-5,,8.612,1.787,0.175,4.557,2.993,1.365,2.503,4.169,265.9,3.162,5.043,2.051,0.596,1.719,0.924,1.537
TMF-331,Ont,Hamilton Harbour,1001,,2017-08-01,19,,3.907,2.132,0.105,5.668,2.697,2.715,1.537,3.875,116.85,2.053,3.452,4.658,28.446,5.333,0.454,6.725
TMF-330,Ont,Hamilton Harbour,1001,,2017-08-01,int ,,6.446,0.94,0.16,4.763,2.788,4.144,2.498,4.918,39.452,0.853,6.727,5.765,0.654,3.319,0.723,1.838
TMF-333,Ont,Hamilton Harbour,1001,,2017-08-10,19,,7.759,2.421,0.158,6.749,3.158,3.967,1.941,3.216,1489.895,2.959,3.464,3.906,335.088,5.018,1.813,5.356
TMF-332,Ont,Hamilton Harbour,1001,,2017-08-10,0-20,,4.731,2.176,0.158,1.622,3.898,3.963,2.841,2.729,1701.519,0.462,6.56,2.837,1.124,1.79,2.246,2.42
TMF-335,Ont,Hamilton Harbour,1001,,2017-08-15,19,,3.948,2.478,0.11,3.615,2.971,0.465,1.818,3.283,1636.783,3.041,3.003,3.767,177.148,4.093,1.678,9.169
TMF-334,Ont,Hamilton Harbour,1001,,2017-08-15,int,,6.328,3.09,0.128,6.097,3.333,2.405,2.563,5.656,1335.095,3.263,5.7,5.797,2.317,5.955,2.251,3.251
TMF-337,Ont,Hamilton Harbour,1001,,2017-08-24,19,,2.566,4.454,0.086,5.045,2.772,1.383,1.855,6.397,1982.584,4.422,2.971,8.013,56.246,6.964,1.775,4.941
TMF-336,Ont,Hamilton Harbour,1001,,2017-08-24,0-20,,4.568,5.767,0.119,3.806,3.636,0.715,2.899,2.791,1381.614,5.888,4.924,4.498,0.937,2.329,2.148,4.942
TMF-339,Ont,Hamilton Harbour,1001,,2017-09-28,19,,23.622,2.895,0.192,5.094,4.106,0.675,2.921,5.204,1612.455,2.942,4.044,3.115,476.7,3.426,2.572,2.713
TMF-338,Ont,Hamilton Harbour,1001,,2017-09-28,0-20,,6.961,3.337,0.126,6.369,3.303,2.323,2.749,5.654,2223.168,2.273,5.13,4.142,2.267,6.572,2.525,4.559
TMF-341,Ont,Hamilton Harbour,1001,,2017-10-05,19,,22.908,0.61,0.217,2.833,3.426,2.165,2.34,2.035,3930.989,1.226,4.244,3.192,505.019,3.029,3.78,2.1
TMF-340,Ont,Hamilton Harbour,1001,,2017-10-05,int,,8.29,2.092,0.146,8.299,3.213,2.41,2.478,6.961,2630.784,1.701,5.276,4.701,3.183,4.9,2.898,3.002
TMF-343,Ont,Hamilton Harbour,1001,,2017-10-10,19,,10.732,1.477,0.125,8.181,2.567,3.99,2.05,7.432,3026.486,1.431,3.863,7.774,307.741,10.06,3.025,1.704
TMF-342,Ont,Hamilton Harbour,1001,,2017-10-10,0-20,,7.144,3.791,0.131,10.103,3.681,3.215,3.439,2.14,4866.672,3.239,5.403,3.599,1.896,3.583,4.158,2.993
TMF-345,Ont,Hamilton Harbour,1001,,2017-10-26,19,,6.71,4.33,0.124,1.866,3.517,1.488,2.687,4.394,2281.528,4.729,5.825,2.803,1.981,3.495,2.571,4.985
TMF-344,Ont,Hamilton Harbour,1001,,2017-10-26,0-20,,5.985,7.011,0.121,8.527,3.334,4.319,2.28,0.506,2018.408,6.784,5.829,0.81,1.217,3.273,2.181,7.023
TMF-346,Ont,Hamilton Harbour,1001,,2017-11-01,int,,3.517,2.58,0.1,3.557,2.636,1.275,6.623,3.475,119.828,1.61,5.364,6.261,0.701,4.132,0.593,2.775
TMF-347,Ont,Hamilton Harbour,1001,,2017-11-08,int,,5.218,4.669,0.099,11.665,2.684,2.065,1.405,5.998,181.733,3.164,5.474,4.16,1.13,5.205,0.718,2.777
TMF-382,Ont,Harp,,,2017-05-26,epi,0-4,26.702,0.9,0.129,4.002,0.764,11.298,1.516,8.504,163.88,1.331,6.041,17.897,1.53,5.516,0.218,8.823
TMF-383,Ont,Harp,,,2017-05-26,hypo,6-35,59.419,7.009,0.034,3.492,0.457,6.055,0.992,2.046,70.499,4.417,4.906,15.612,3.368,4.348,0.181,19.22
TMF-384,Ont,Harp,,,2017-06-12,epi,0-4,16.45,3.531,0.033,19.977,0.527,2.871,1.056,5.946,29.651,4.381,5.312,18.45,0.381,3.998,0.21,19.813
TMF-385,Ont,Harp,,,2017-06-12,hypo,8-35,42.346,5.014,0.035,16.231,0.438,4.03,1.134,6.762,35.994,3.128,4.551,18.981,3.241,5.955,0.114,6.31
TMF-386,Ont,Harp,,,2017-06-28,epi,0-4,24.886,0.927,0.034,5.316,0.48,5.22,0.983,6.205,29.095,0.889,5.201,16.76,0.495,6.007,0.128,26.752
TMF-387,Ont,Harp,,,2017-06-28,hypo,8-35,32.499,3.139,0.045,7.863,0.547,5.523,1.331,6.995,80.45,4.351,4.433,20.996,3.292,6.455,0.093,12.427
TMF-388,Ont,Harp,,,2017-07-13,epi,0-4,18.76,1.996,0.03,12.949,0.482,4.408,1.135,5.694,25.902,3.529,4.159,20.441,0.596,5.893,0.168,23.579
TMF-389,Ont,Harp,,,2017-07-13,hypo,8-35,48.651,5.051,0.057,8.02,0.501,8.656,1.175,4.01,45.665,2.662,4.086,17.74,8.158,7.295,0.098,21.335
TMF-390,Ont,Harp,,,2017-08-02,epi,0-4,14.253,3.883,0.026,13.262,0.422,7.299,1.002,5.711,19.161,3.475,2.973,16.311,0.528,3.468,0.117,11.261
TMF-391,Ont,Harp,,,2017-08-02,hypo,8-35,30.193,1.246,0.046,7.274,0.43,6.139,1.141,6.261,32.606,2.184,2.485,19.597,3.496,6.426,0.097,3.94
TMF-392,Ont,Harp,,,2017-08-29,epi,0-4,43.405,2.08,0.049,6.912,0.479,10.959,1.011,7.837,27.819,2.079,2.304,18.736,2.631,7.734,0.216,4.859
TMF-393,Ont,Harp,,,2017-08-29,hypo,8-35,35.482,3.932,0.036,12.488,0.348,11.964,0.74,8.373,45.737,3.207,1.8,15.742,4.083,7.365,0.145,9.091
TMF-42,Ont,Lake of the Woods,310,,2017-06-07,1 (rep A),,12.081,1.886,0.038,4.186,1.021,1.805,1.854,2.633,376.7,2.047,0.427,5.741,0.583,3.705,0.635,1.411
TMF-43,Ont,Lake of the Woods,310,,2017-06-07,1 (rep B),,12.751,2.089,0.034,4.118,0.829,2.785,1.023,2.485,95.4,1.199,0.274,3.697,0.596,2.734,0.257,6.871
